Company,Name,YearOfManufacture,Status,Body,DistanceUsed,Doors,Seats,FuelType,FuelAmount,GearBox,Drivetrain,FuelConsumption,Price
Mercedes, Mercedes Benz GLC 200 4Matic - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1927000000
Mercedes, Mercedes Benz C class C200 Exclusive - 2020,2020,used,Sedan,15400,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1279000000
Kia, Kia Carens EXMT - 2016,2016,used,Crossover,80000,5,7,Xăng,2.0,Số tay,FWD - Dẫn động cầu trước,7,299000000
Chevrolet, Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT - 2019,2019,used,SUV,30000,5,7,Dầu,2.5,Số tự động,AWD - 4 bánh toàn thời gian,null,768000000
Mercedes, Mercedes Benz G class G63 AMG - 2021,2021,used,SUV,8000,5,5,Xăng,4.0,Số tự động,AWD - 4 bánh toàn thời gian,8,10200000000
VinFast, VinFast Fadil Tiêu chuẩn 1.4 AT - 2022,2022,used,Hatchback,6000,5,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,null,365000000
Kia, Kia Cerato 1.6 AT - 2018,2018,used,Sedan,0,4,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,485000000
Toyota, Toyota Innova G - 2008,2008,used,Crossover,156985,5,8,Xăng,2.0,Số tay,RFD - Dẫn động cầu sau,null,235000000
Hyundai, Hyundai Kona 1.6 Turbo - 2018,2018,used,Crossover,58000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,5,565000000
Hyundai, Hyundai Tucson 2.0 Diesel - 2020,2020,used,SUV,30000,4,5,Dầu,null,Số tự động,FWD - Dẫn động cầu trước,null,759000000
Hyundai, Hyundai SantaFe 2.7 MT - 2008,2008,used,SUV,100000,5,7,Xăng,2.7,Số tay,FWD - Dẫn động cầu trước,null,379000000
Kia, Kia Morning MT - 2019,2019,used,Hatchback,65000,5,5,Xăng,1.25,Số tay,FWD - Dẫn động cầu trước,null,259000000
Hyundai, Hyundai Tucson 2.0 AT - 2009,2009,used,Crossover,133000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,295000000
Mitsubishi, Mitsubishi Pajero Sport G 4x2 AT - 2015,2015,used,SUV,99000,5,7,Xăng,3.0,Số tự động,RFD - Dẫn động cầu sau,null,505000000
Mazda, Mazda CX8 Luxury - 2021,2021,used,SUV,50000,5,7,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,null,888000000
Mazda, Mazda 626 2.0 MT - 2003,2003,used,Sedan,222000,4,5,Xăng,2.0,Số tay,FWD - Dẫn động cầu trước,null,125000000
Mercedes, Mercedes Benz GLC 200 4Matic - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,2269000000
Toyota, Toyota Fortuner 2.4G 4x2 AT - 2021,2021,used,SUV,0,5,7,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,null,960000000
Mitsubishi, Mitsubishi Pajero Sport 2.4D 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,null,1110000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,890000000
Hyundai, Hyundai SantaFe 2.7L 4WD - 2007,2007,used,SUV,200000,5,7,Xăng,2.7,Số tự động,4WD - Dẫn động 4 bánh,9,245000000
Isuzu, Isuzu Dmax LS 1.9L 4x2 MT - 2022,2022,new,Bán tải ,0,4,5,Dầu,1.9,Số tay,RFD - Dẫn động cầu sau,6,620000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,null,640000000
Mitsubishi, Mitsubishi Attrage Premium 1.2 CVT - 2022,2022,new,Sedan,0,4,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,null,490000000
Kia, Kia Cerato 2.0 AT Premium - 2019,2019,used,Sedan,26000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,550000000
Hyundai, Hyundai Tucson 2.0 AT - 2020,2020,used,Crossover,40000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,698000000
Hyundai, Hyundai Tucson 2.0 AT Đặc biệt - 2022,2022,new,Crossover,0,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,915000000
Mazda, Mazda 2 1.5 AT - 2023,2023,new,Sedan,0,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,420000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,919000000
BMW, BMW X3 sDrive20i - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,7,1709000000
Mitsubishi, Mitsubishi Xpander Cross 1.5 AT - 2023,2023,new,SUV,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,680000000
Mitsubishi, Mitsubishi Attrage 1.2 CVT - 2023,2023,new,Sedan,0,4,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,null,465000000
Toyota, Toyota Vios G 1.5 CVT - 2023,2023,new,Sedan,0,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,580000000
Mitsubishi, Mitsubishi Attrage 1.2 CVT - 2023,2023,new,Sedan,0,4,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,null,410000000
Chevrolet, Chevrolet Cruze LTZ 1.8L - 2017,2017,used,Sedan,70000,4,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,null,390000000
Mitsubishi, Mitsubishi Grunder 2.4 AT - 2010,2010,used,Sedan,90000,4,5,Xăng,2.4,Số tự động,FWD - Dẫn động cầu trước,null,399000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,890000000
Honda, Honda Civic 1.5L Vtec Turbo - 2018,2018,used,Sedan,55000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,null,556000000
Lexus, Lexus RX 350 AWD - 2009,2009,used,SUV,84000,5,5,Xăng,3.5,Số tự động,AWD - 4 bánh toàn thời gian,null,920000000
Lexus, Lexus ES 350 - 2015,2015,used,Sedan,60000,4,5,Xăng,3.5,Số tự động,FWD - Dẫn động cầu trước,null,1560000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2018,2018,used,SUV,40000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1360000000
Mazda, Mazda BT50 Luxury 2.2L 4x2 AT - 2019,2019,used,Bán tải ,68,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,6,530000000
Lexus, Lexus ES 250 - 2017,2017,used,Sedan,29000,4,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,5,1580000000
BMW, BMW X5 xDrive35i xLine - 2015,2015,used,SUV,50000,5,7,Xăng,null,Số tự động,AWD - 4 bánh toàn thời gian,null,1393000000
Hyundai, Hyundai Kona 2.0 ATH - 2020,2020,used,Crossover,36,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,7,565000000
Audi, Audi Q5 TFSI - 2014,2014,used,SUV,60000,5,5,Xăng,null,Số tự động,AWD - 4 bánh toàn thời gian,null,690000000
Mitsubishi, Mitsubishi Xpander 1.5 AT - 2019,2019,used,SUV,40000,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,540000000
Suzuki, Suzuki Swift GLX 1.2 AT - 2018,2018,used,Hatchback,39000,5,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,null,445000000
Hyundai, Hyundai Getz 1.1 MT - 2010,2010,used,Hatchback,0,5,5,Xăng,1.1,Số tay,FWD - Dẫn động cầu trước,null,195000000
Lexus, Lexus ES 350 - 2010,2010,used,Sedan,0,4,5,Xăng,3.5,Số tự động,FWD - Dẫn động cầu trước,null,818000000
VinFast, VinFast VF8 Eco - 2023,2023,new,SUV,0,5,5,Điện,0.2,Số tự động,AWD - 4 bánh toàn thời gian,null,727000000
Mitsubishi, Mitsubishi Outlander 2.4 CVT Premium - 2018,2018,used,SUV,38000,5,7,Xăng,2.4,Số tự động,4WD - Dẫn động 4 bánh,8,679000000
Audi, Audi Q8 55 TFSI S-Line Quatt - 2021,2021,used,SUV,10000,5,5,Hybrid,null,Số tự động,4WD - Dẫn động 4 bánh,null,3939000000
Mercedes, Mercedes Benz C class C250 Exclusive - 2016,2016,used,Sedan,70,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,8,865000000
Mazda, Mazda BT50 2.2L 4x2 AT - 2021,2021,used,Bán tải ,26000,4,5,Dầu,null,Số tự động,RFD - Dẫn động cầu sau,null,599000000
Toyota, Toyota Camry 2.0Q - 2022,2022,used,Sedan,22999,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,1115000000
Hyundai, Hyundai SantaFe 2.2L 4WD - 2018,2018,used,SUV,56000,5,7,Dầu,2.2,Số tự động,4WD - Dẫn động 4 bánh,null,820000000
Ford, Ford Everest 2.0 4x2 AT - 2020,2020,used,SUV,50000,5,7,Dầu,null,Số tự động,RFD - Dẫn động cầu sau,null,835000000
Toyota, Toyota Yaris 1.3G - 2015,2015,used,Hatchback,63000,5,5,Xăng,1.3,Số tự động,FWD - Dẫn động cầu trước,null,445000000
Ford, Ford Focus Sport 1.5L - 2016,2016,used,Hatchback,70000,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,460000000
Toyota, Toyota Camry 2.4G - 2003,2003,used,Sedan,85000,4,5,Xăng,2.4,Số tay,FWD - Dẫn động cầu trước,7,240000000
Ford, Ford Fiesta S 1.0 AT Ecoboost - 2014,2014,used,Hatchback,56000,5,5,Xăng,1.0,Số tự động,FWD - Dẫn động cầu trước,null,305000000
Mercedes, Mercedes Benz E class E200 - 2017,2017,used,Sedan,48000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,8,1190000000
Hyundai, Hyundai i10 Grand 1.2 MT - 2019,2019,used,Hatchback,0,5,5,Xăng,1.25,Số tay,FWD - Dẫn động cầu trước,null,290000000
Toyota, Toyota Camry 2.5Q - 2017,2017,used,Sedan,67000,4,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,7,740000000
Mitsubishi, Mitsubishi Pajero Sport D 4x4 MT - 2011,2011,used,SUV,65000,5,7,Dầu,2.5,Số tay,4WD - Dẫn động 4 bánh,null,430000000
Toyota, Toyota Highlander SE 2.7 - 2011,2011,used,SUV,13000,5,7,Xăng,2.7,Số tự động,FWD - Dẫn động cầu trước,null,580000000
Toyota, Toyota Highlander LE 2.7 - 2016,2016,used,SUV,0,5,7,Xăng,2.7,Số tự động,FWD - Dẫn động cầu trước,null,1370000000
Kia, Kia Carnival 2.2D Signature - 2021,2021,used,Van,32000,5,7,Dầu,null,Số tự động,FWD - Dẫn động cầu trước,null,1399000000
BMW, BMW 5 Series 520i Luxury Line - 2022,2022,new,Sedan,0,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,7,2018000000
Toyota, Toyota Camry 2.0G - 2019,2019,used,Sedan,62000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,811000000
Toyota, Toyota Camry 2.0 AT - 2020,2020,used,Sedan,60000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,null,822000000
Lexus, Lexus LX 570 - 2010,2010,used,SUV,80000,5,7,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,null,1958000000
Lexus, Lexus LX 570 - 2010,2010,used,SUV,79000,5,7,Xăng,null,Số tự động,4WD - Dẫn động 4 bánh,null,1939000000
Hyundai, Hyundai Accent 1.4 MT - 2019,2019,used,Sedan,70000,0,0,Xăng,null,Số tay,-,null,380000000
Kia, Kia Sorento Signature 2.2 AT AWD - 2022,2022,used,SUV,40000,5,7,Dầu,null,Số tự động,AWD - 4 bánh toàn thời gian,null,1056000000
Kia, Kia Sorento Signature 2.2 AT AWD - 2021,2021,used,SUV,39000,5,6,Dầu,null,Số tự động,AWD - 4 bánh toàn thời gian,null,1055000000
Peugeot, Peugeot 5008 GT 1.6 AT - 2022,2022,used,SUV,0,5,7,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,1065000000
Volvo, Volvo V60 Cross Country Ultimate B5 AWD - 2023,2023,new,Wagon,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,8,2690000000
Mercedes, Mercedes Benz E class E300 AMG - 2019,2019,used,Sedan,27000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,10,1939000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2021,2021,used,SUV,28000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1899000000
Hyundai, Hyundai Accent 1.4 AT Đặc Biệt - 2022,2022,new,Sedan,0,4,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,7,500000000
Honda, Honda Civic 2.0 cửa nóc - 2011,2011,used,Sedan,100000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,315000000
Mazda, Mazda CX5 2.0 AT - 2015,2015,used,SUV,80000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,550000000
Mercedes, Mercedes Benz E class E300 - 2010,2010,used,Sedan,80,4,5,Xăng,3.0,Số tự động,RFD - Dẫn động cầu sau,10,550000000
LandRover, LandRover Range Rover Velar R-Dynamic SE 2.0 - 2019,2019,used,SUV,16000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,3699000000
Mitsubishi, Mitsubishi Xpander 1.5 AT - 2023,2023,new,SUV,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,588000000
Toyota, Toyota Prado VX 2.7L - 2022,2022,used,SUV,5700,5,7,Xăng,2.7,Số tự động,4WD - Dẫn động 4 bánh,null,2820000000
Mazda, Mazda CX8 Premium AWD - 2023,2023,new,SUV,0,5,7,Xăng,2.5,Số tự động,AWD - 4 bánh toàn thời gian,null,1181000000
Audi, Audi Q5 2.0 AT - 2013,2013,used,SUV,60000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,685000000
Kia, Kia Carnival Luxury 2.2D - 2023,2023,new,Van,0,5,8,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,null,1289000000
Audi, Audi Q5 TFSI - 2013,2013,used,SUV,63000,5,5,Xăng,null,Số tự động,AWD - 4 bánh toàn thời gian,null,688000000
Mercedes, Mercedes Benz GLK Class GLK280 4Matic - 2009,2009,used,SUV,0,5,5,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,null,410000000
Hyundai, Hyundai Avante 1.6 AT - 2012,2012,used,Sedan,86000,4,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,315000000
LandRover, LandRover Range Rover Evoque Dynamic - 2013,2013,used,SUV,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,899000000
Lexus, Lexus LX 600 Urban - 2023,2023,new,SUV,0,5,7,Xăng,3.4,Số tự động,AWD - 4 bánh toàn thời gian,null,10980000000
Mercedes, Mercedes Benz S class S500L - 2015,2015,used,Sedan,59000,4,5,Xăng,4.7,Số tự động,RFD - Dẫn động cầu sau,null,1999000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2016,2016,used,SUV,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1099000000
Kia, Kia Carnival Signature 3.5G - 2023,2023,new,Van,0,5,7,Xăng,3.5,Số tự động,FWD - Dẫn động cầu trước,null,1869000000
VinFast, VinFast Fadil Tiêu chuẩn 1.4 AT - 2022,2022,used,Hatchback,8500,5,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,6,365000000
Ford, Ford Ranger XLS 2.2L 4x2 AT - 2018,2018,used,Bán tải ,56000,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,null,499000000
VinFast, VinFast Lux A 2.0 Tiêu chuẩn - 2022,2022,used,Sedan,19000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,7,650000000
Hyundai, Hyundai Elantra 2.0 AT - 2020,2020,used,Sedan,49000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,539000000
Toyota, Toyota Fortuner Legender 2.4L 4x2 AT - 2022,2022,new,SUV,0,5,7,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,null,1134000000
Toyota, Toyota Vios G 1.5 CVT - 2023,2023,new,Sedan,0,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,567000000
Ford, Ford Mustang 2.3 EcoBoost Premium Fastback - 2021,2021,used,Coupe,0,2,4,Xăng,2.3,Số tự động,RFD - Dẫn động cầu sau,null,3150000000
Hyundai, Hyundai Stargazer Tiêu chuẩn 1.5 AT - 2022,2022,new,Van,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,495000000
Toyota, Toyota Fortuner 2.4G 4x2 AT - 2018,2018,used,SUV,0,5,8,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,null,880000000
Mitsubishi, Mitsubishi Pajero Sport 2.4D 4x4 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.4,Số tự động,4WD - Dẫn động 4 bánh,null,1365000000
Toyota, Toyota Innova G - 2009,2009,used,Crossover,135000,5,8,Xăng,2.0,Số tay,RFD - Dẫn động cầu sau,8,245000000
Mazda, Mazda BT50 Luxury 2.2L 4x2 AT - 2021,2021,used,Bán tải ,2500,5,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,565000000
Hyundai, Hyundai SantaFe 2.2L - 2020,2020,used,SUV,40000,5,7,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,7,888000000
Lexus, Lexus RX 350 - 2019,2019,used,SUV,42000,5,5,Xăng,3.5,Số tự động,AWD - 4 bánh toàn thời gian,null,3300000000
Toyota, Toyota Camry 2.5Q - 2023,2023,new,Sedan,0,4,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,12,1360000000
Mercedes, Mercedes Benz E class E200 Exclusive - 2022,2022,used,Sedan,19,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,9,2289000000
Lexus, Lexus RX 350 - 2019,2019,used,SUV,30000,5,5,Xăng,3.5,Số tự động,AWD - 4 bánh toàn thời gian,null,3100000000
Nissan, Nissan Navara EL Premium R - 2018,2018,used,Bán tải ,70000,4,5,Dầu,2.5,Số tự động,RFD - Dẫn động cầu sau,10,455000000
Mitsubishi, Mitsubishi Xpander Premium 1.5 AT - 2022,2022,new,SUV,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,585000000
Kia, Kia K3 Premium 1.6 AT - 2023,2023,new,Sedan,0,4,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,664000000
Mercedes, Mercedes Benz Maybach GLS 600 4Matic - 2022,2022,new,SUV,0,5,4,Xăng,4.0,Số tự động,AWD - 4 bánh toàn thời gian,null,11619000000
Mitsubishi, Mitsubishi Triton Athlete 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,8,780000000
Kia, Kia Morning SX 1.1 AT - 2008,2008,used,Hatchback,0,5,5,Xăng,1.1,Số tự động,FWD - Dẫn động cầu trước,null,179000000
Ford, Ford Ranger Raptor 2.0L 4x4 AT - 2020,2020,used,Bán tải ,23000,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,1020000000
Honda, Honda CRV L - 2021,2021,used,SUV,9000,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,850000000
Kia, Kia Sorento Signature 2.2 AT AWD - 2022,2022,used,SUV,10000,5,7,Dầu,2.2,Số tự động,AWD - 4 bánh toàn thời gian,null,1285000000
Toyota, Toyota Land Cruiser VX 4.6 V8 - 2017,2017,used,SUV,68000,5,8,Xăng,4.6,Số tự động,AWD - 4 bánh toàn thời gian,null,3150000000
Ford, Ford Ranger Wildtrak 3.2L 4x4 AT - 2015,2015,used,Bán tải ,90000,4,5,Dầu,3.2,Số tự động,4WD - Dẫn động 4 bánh,null,625000000
Mercedes, Mercedes Benz S class S500L - 2015,2015,used,Sedan,60000,4,5,Xăng,4.7,Số tự động,RFD - Dẫn động cầu sau,null,1999000000
Hyundai, Hyundai i10 Grand 1.2 AT - 2018,2018,used,Hatchback,55000,5,5,Xăng,1.25,Số tự động,FWD - Dẫn động cầu trước,6,355000000
Volkswagen, Volkswagen Tiguan Allspace - 2018,2018,used,SUV,45000,5,7,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,7,1150000000
Toyota, Toyota Vios 1.5E MT - 2018,2018,used,Sedan,0,4,5,Xăng,1.5,Số tay,FWD - Dẫn động cầu trước,null,380000000
Isuzu, Isuzu Dmax LS 2.5 4x4 MT - 2016,2016,used,Bán tải ,0,4,5,Dầu,2.5,Số tay,4WD - Dẫn động 4 bánh,null,435000000
VinFast, VinFast VF5 Plus - 2023,2023,new,SUV,0,5,5,Điện,null,Số tự động,FWD - Dẫn động cầu trước,null,458000000
Kia, Kia Sedona DATH AT - 2019,2019,used,SUV,56000,5,7,Dầu,null,Số tự động,FWD - Dẫn động cầu trước,6,886000000
Porsche, Porsche Panamera 4 - 2021,2021,used,Sedan,24000,4,4,Xăng,2.9,Số tự động,RFD - Dẫn động cầu sau,10,5900000000
Toyota, Toyota Camry 2.0E - 2018,2018,used,Sedan,0,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,760000000
Toyota, Toyota Yaris 1.3E - 2014,2014,used,Hatchback,59466,5,5,Xăng,1.3,Số tự động,FWD - Dẫn động cầu trước,null,399000000
Mercedes, Mercedes Benz GLC 200 - 2020,2020,used,SUV,15000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1450000000
Ford, Ford Ranger XL 2.0L 4x4 MT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tay,4WD - Dẫn động 4 bánh,null,625000000
Honda, Honda City 1.5 - 2019,2019,used,Sedan,40000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,450000000
Toyota, Toyota Hilux 2.8G 4x4 AT - 2019,2019,used,Bán tải ,68000,4,5,Dầu,2.8,Số tự động,4WD - Dẫn động 4 bánh,7,765000000
Mazda, Mazda CX 30 Premium 2.0 AT - 2022,2022,used,Crossover,15000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,9,795000000
Thaco, Thaco Frontier K200S - 2023,2023,new,Truck,0,2,3,Dầu,null,Số tay,RFD - Dẫn động cầu sau,6,361000000
Hyundai, Hyundai Kona 2.0 ATH - 2020,2020,used,Crossover,47000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,9,575000000
Toyota, Toyota Highlander LE 2.7 - 2014,2014,used,SUV,80000,5,7,Xăng,2.7,Số tự động,FWD - Dẫn động cầu trước,9,1045000000
Ford, Ford Ranger XLS 2.2L 4x2 AT - 2016,2016,used,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,null,440000000
Hyundai, Hyundai Elantra 2.0 AT - 2016,2016,used,Sedan,64000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,8,460000000
Kia, Kia Carnival Signature 2.2D - 2023,2023,new,Van,0,5,7,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,null,1511000000
Mazda, Mazda CX5 2.0 AT - 2015,2015,used,SUV,90000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,9,495000000
Toyota, Toyota Corolla Cross 1.8HV - 2022,2022,new,SUV,0,5,5,Hybrid,1.8,Số tự động,FWD - Dẫn động cầu trước,null,880000000
Ford, Ford EcoSport Titanium 1.0 EcoBoost - 2018,2018,used,SUV,40000,5,5,Xăng,1.0,Số tự động,FWD - Dẫn động cầu trước,null,479000000
Mazda, Mazda CX5 2.0 Premium - 2020,2020,used,SUV,40000,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,775000000
Toyota, Toyota Camry 2.0E - 2018,2018,used,Sedan,80000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,759000000
Mazda, Mazda CX5 Luxury 2.0 AT - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,6,759000000
Toyota, Toyota Veloz Cross Top 1.5 CVT - 2023,2023,new,SUV,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,668000000
Ford, Ford Everest Sport 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,6,1120000000
Kia, Kia Morning - 2015,2015,used,Van,6,4,2,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,235000000
Toyota, Toyota Corolla Cross 1.8V - 2023,2023,new,SUV,0,5,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,null,846000000
Toyota, Toyota Corolla Cross 1.8V - 2023,2023,new,SUV,0,5,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,null,860000000
Kia, Kia Sorento DATH - 2018,2018,used,SUV,58000,5,7,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,7,729000000
VinFast, VinFast Lux A 2.0 2.0 AT - 2021,2021,used,Sedan,13000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,640000000
Mercedes, Mercedes Benz C class C300 AMG - 2021,2021,used,Sedan,8999,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,2399000000
Hyundai, Hyundai Creta Cao cấp 1.5 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,660000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,new,SUV,0,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1859000000
Mazda, Mazda 3 1.5L Deluxe - 2020,2020,used,Sedan,16000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,550000000
Hyundai, Hyundai Tucson 2.0 AT Tiêu chuẩn - 2023,2023,new,Crossover,0,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,775000000
Kia, Kia Cerato 1.6 AT - 2009,2009,used,Sedan,130000,4,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,9,310000000
Toyota, Toyota Vios 1.5G - 2020,2020,used,Sedan,40000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,5,480000000
Kia, Kia Sedona 3.3 GAT Premium - 2019,2019,used,Van,39000,5,7,Xăng,3.3,Số tự động,FWD - Dẫn động cầu trước,null,920000000
Suzuki, Suzuki Super Carry Van Blind Van - 2022,2022,new,Van,0,5,2,Xăng,1.0,Số tay,RFD - Dẫn động cầu sau,5,269000000
Kia, Kia Morning - 2004,2004,used,Hatchback,135000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,null,110000000
Mercedes, Mercedes Benz C class C200 Exclusive - 2018,2018,used,Sedan,42000,4,5,Hybrid,1.5,Số tự động,RFD - Dẫn động cầu sau,null,1080000000
